Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Calorie Intake (kcal/day),765,1088,1088,1482,1482,1482,1817,1817,1817,1817,2500,2500,2500,2500,2500,2500,2500,2500
Protein (g/day),14.5,14.5,14.5,19.7,19.7,19.7,28.3,28.3,28.3,28.3,42.1,42.1,42.1,42.1,55.2,55.2,55.2,55.2
Fat (g/day) [Less than],0,0,0,58,58,58,71,71,71,71,97,97,97,97,97,97,97,97
Saturated fat (g/day) [Less than],0,0,0,18,18,18,22,22,22,22,31,31,31,31,31,31,31,31
Polyunsaturated fat (g/day),0,0,0,11,11,11,13,13,13,13,18,18,18,18,18,18,18,18
Monounsaturated fat (g/day),0,0,0,21,21,21,26,26,26,26,36,36,36,36,36,36,36,36
Carbohydrate (g/day) [At least],0,145,145,198,198,198,242,242,242,242,333,333,333,333,333,333,333,333
Free sugars (g/day) [Less than],0,15,15,20,20,20,24,24,24,24,33,33,33,33,33,33,33,33
Salt (g/day) [Less than],2,2,2,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6
Fibre (g/day),0,15,15,15,20,20,20,20,20,20,25,25,25,25,30,30,30,30
Vitamin A (microgram/day),400,400,400,400,400,400,500,500,500,500,600,600,600,600,700,700,700,700
Thiamin (mg/day),0.3,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1,1
Riboflavin (mg/day),0.6,0.6,0.6,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3
Niacin equivalent (mg/day),5,7.2,7.2,9.8,9.8,9.8,12,12,12,12,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
Vitamin B6 (mg/day),0.7,0.7,0.7,0.9,0.9,0.9,1,1,1,1,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5
Vitamin B12 (microgram/day),0.5,0.5,0.5,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5
Folate (microgram/day),70,70,70,100,100,100,150,150,150,150,200,200,200,200,200,200,200,200
Vitamin C (mg/day),30,30,30,30,30,30,30,30,30,30,35,35,35,35,40,40,40,40
Vitamin D (microgram/day),10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
